Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
70,F10,151,combined,32.C,22.986,27.705,17.365,27.79029846,20.28683472,23.425,26.103,28.517,20.608,21.428,29.463,20.869,28.019,26.461,22.941,18.53606729,25.025,20.73,29.191,27.71887234,26.36090924,26.009,26.101
55,E7,153,combined,32.C,21.426,26.077,16.995,26.58141327,20.46996117,22.815,24.971,NA,20.979,22.856,28.14,20.988,26.832,24.386,21.913,18.47815637,24.075,20.275,28.552,26.30553464,25.30225446,23.608,24.569
56,E8,153,combined,32.C,21.455,26.391,17.052,26.20276642,20.70840836,23.607,24.87,25.66,21.024,23.214,27.999,21.132,26.883,24.395,22.048,17.78450327,23.551,20.336,28.565,26.23629025,25.35393979,23.636,24.498
55,E7,154,combined,32.C,21.069,26.228,17.676,27.08662415,21.11936569,23.391,25.203,NA,21.73,21.226,27.67,21.253,26.898,23.924,22.383,18.07108498,24.575,20.712,28.004,25.94716454,25.47633171,23.253,24.27
56,E8,154,combined,32.C,21.066,26.069,17.725,27.02834702,21.14893723,23.414,25.241,26.104,21.858,21.451,27.991,21.409,26.989,24.101,22.626,18.25229073,24.536,20.278,27.8,25.82814217,25.45310402,23.071,24.348
59,E11,156,combined,32.C,20.4,25.378,16.284,25.70663261,19.94357491,22.732,24.135,25.411,20.466,21.528,27.972,20.426,26.149,24.109,21.261,17.83708382,22.491,19.818,26.966,24.9242363,24.71903419,23.043,24.025
60,E12,156,combined,32.C,20.444,25.388,16.315,25.84942055,19.99104118,22.807,24.183,25.599,20.522,21.638,27.614,20.643,26.287,24.271,21.249,17.62945747,22.746,20.261,26.924,24.9927597,24.68671608,23.125,24.002
37,D1,157,combined,32.C,22.233,26.715,17.869,26.4604702,20.39206886,23.303,25.582,26.688,20.825,22.162,28.315,20.151,27.276,24.318,22.761,17.90017061,24.955,20.224,28.495,26.15127019,25.54925801,24.336,24.799
38,D2,157,combined,32.C,22.252,26.675,17.951,26.21624756,20.45537567,22.776,25.575,26.696,20.77,22.065,28.337,20.056,27.301,24.327,22.66,18.37653474,24.231,20.046,28.535,26.13915852,25.49638249,24.289,24.686
19,B7,159,combined,32.C,22.121,27.447,16.295,28.597435,31.58119774,25.017,23.512,25.089,27.315,27.624,28.698,24.373,26.703,24.65,21.352,19.37985353,21.977,19.665,28.041,28.20797375,24.53235509,26.583,25.554
20,B8,159,combined,32.C,22.119,27.569,16.333,28.28744507,30.99862671,24.896,23.554,25.159,27.311,27.642,28.668,24.619,26.678,24.619,21.408,19.27827959,22.216,19.616,28.054,28.42897443,24.59367825,26.396,25.407
