Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
50,E2,85,hypercapnia,18.C,21.973,26.582,20.188,27.967,31.943,23.103,24.929,24.964,28.94,29.464,28.855,24.4,26.81299973,28.67,23.321,19.14305496,24.608,23.368,26.897,27.847,24.77417755,24.77294731,25.19130707
85,H1,87,hypercapnia,18.C,21.847,26.184,19.977,27.29,31.13,22.983,24.885,24.664,29.198,29.198,28.55,23.934,26.78899956,27.371,23.294,18.63680267,23.99,22.966,26.521,27.335,24.43557549,24.94202042,25.22199249
86,H2,87,hypercapnia,18.C,21.664,26.172,19.8,27.36,30.775,23.012,24.816,24.64,29.095,29.346,28.472,23.902,26.69099998,27.248,23.291,18.72869682,24.015,22.858,26.768,27.367,24.38988495,24.72087669,25.08656883
47,D11,90,hypercapnia,18.C,21.993,26.681,20.244,28.225,30.165,23.431,25.199,25.183,28.534,29.007,28.559,24.026,25.74899977,24.156,23.634,18.80856514,24.783,23.212,26.882,26.809,23.24270473,23.32251021,25.01396161
48,D12,90,hypercapnia,18.C,21.998,26.81,20.362,28.223,30.102,23.623,25.368,25.17,28.452,29.022,28.649,24.051,25.60500067,24.108,23.621,18.59304047,24.807,23.059,26.789,26.854,23.35599361,23.33729216,25.14723569
37,D1,92,hypercapnia,24.C,22.144,26.4,20.785,28.678,30.976,23.369,25.157,26.104,28.259,28.609,29.156,24.267,25.80599976,27.69,22.985,18.68176651,24.375,22.65,26.606,27.251,24.57374191,22.62865829,25.48513412
38,D2,92,hypercapnia,24.C,21.988,26.206,20.65,28.595,30.805,23.106,24.986,26.122,28.097,28.489,29.07,24.217,25.75200081,27.616,22.978,17.06153488,24.143,22.338,26.79,27.08,24.52394295,22.61732292,26.71520615
73,G1,93,hypercapnia,24.C,23.268,27.525,21.972,28.842,30.655,24.889,26.17,27.311,29.239,29.429,29.897,24.985,27.62499922,29.114,24.92,18.98730278,25.807,24.198,27.233,28.811,25.77258334,24.65005537,26.21215039
74,G2,93,hypercapnia,24.C,23.228,27.672,21.904,28.983,30.653,24.874,26.244,27.046,29.163,29.518,29.987,24.973,27.73300093,29.347,24.963,19.98991203,25.697,24.12,27.165,28.953,25.65093074,24.67440459,26.29075032
59,E11,95,hypercapnia,24.C,21.788,26.666,19.971,27.291,30.006,23.059,24.831,25.405,27.325,28.574,28.698,23.682,25.65700072,29.21,23.336,18.31158829,23.814,22.841,25.885,27.231,24.60705791,22.74091383,25.36972791
60,E12,95,hypercapnia,24.C,21.83,26.717,19.982,27.654,30.22,23.18,24.855,25.564,27.171,28.467,28.709,23.682,25.71700018,29.261,23.346,18.20117569,23.905,22.598,25.837,27.048,24.60497318,22.73731276,25.53798085
33,C9,97,hypercapnia,24.C,22.239,28.021,20.676,28.247,28.964,24.083,25.73,26.815,28.754,29.095,29.8,24.034,26.38599968,28.514,23.928,18.8266468,25.372,23.516,27.183,28.138,25.56356812,23.99403381,26.06786919
34,C10,97,hypercapnia,24.C,22.321,26.966,20.612,28.388,29.188,24.087,25.759,26.793,28.896,29.103,29.993,23.931,26.45499992,28.116,23.931,18.90726089,25.403,23.715,27.084,28.033,25.57080269,23.95431328,26.01136017
93,H9,99,hypercapnia,24.C,21.799,26.159,19.923,27.58,30.471,23.162,24.992,25.277,27.569,28.078,28.355,22.816,26.02599907,27.848,23.094,18.57062721,23.978,23.028,26.343,26.998,23.8623867,23.49962686,25.21790695
94,H10,99,hypercapnia,24.C,21.796,26.207,19.986,27.434,30.409,23.178,25.106,25.114,27.602,28.456,28.411,22.912,26.02400017,28,23.104,18.86910439,23.996,22.962,26.133,26.898,23.79748917,NA,25.19554901
27,C3,100,hypercapnia,24.C,21.384,26.061,19.886,27.14,29.658,22.984,24.699,25.661,26.932,27.506,27.981,22.539,25.33899992,27.036,22.781,18.47506905,23.36,22.666,25.705,26.571,23.91909251,21.7659268,24.85497647
28,C4,100,hypercapnia,24.C,21.342,25.966,19.802,27.072,29.715,22.959,24.851,25.579,27.083,27.452,28.064,22.531,25.36300009,26.99,22.782,16.82016373,23.313,22.54,25.679,26.642,23.84119067,21.58202979,24.8390463
23,B11,102,hypercapnia,30.C,21.067,25.35,19.964,24.662,20.853,22.033,24.11,25.156,21.259,23.534,26.977,19.986,26.21600073,23.602,23.195,17.85950279,23.729,22.676,25.024,24.804,24.59544025,20.58082816,24.83475095
